 ,Label,ID,Vol. (microns³),x Cent (microns),y Cent (microns),z Cent (microns),SA (microns²),Encl. Vol. (microns³)
11081,2024-11-12_ICinject241010_rLP10l_sliceB2__F_mouse 3_SBC_20Xtil..._F_mouse 3_SBC_20Xtile_350-Hoechst_488-BODIPY_647-D54D2.czi #1 - C=0,11081,0.240,1078.698,203.816,14.500,0.000,0.000
11082,2024-11-12_ICinject241010_rLP10l_sliceB2__F_mouse 3_SBC_20Xtil..._F_mouse 3_SBC_20Xtile_350-Hoechst_488-BODIPY_647-D54D2.czi #1 - C=0,11082,0.240,7.626,808.331,19.000,0.000,0.000
11083,2024-11-12_ICinject241010_rLP10l_sliceB2__F_mouse 3_SBC_20Xtil..._F_mouse 3_SBC_20Xtile_350-Hoechst_488-BODIPY_647-D54D2.czi #1 - C=0,11083,0.240,144.889,570.545,16.500,0.000,0.000
11084,2024-11-12_ICinject241010_rLP10l_sliceB2__F_mouse 3_SBC_20Xtil..._F_mouse 3_SBC_20Xtile_350-Hoechst_488-BODIPY_647-D54D2.czi #1 - C=0,11084,4.325,572.317,303.297,11.500,5.871,1.046
11085,2024-11-12_ICinject241010_rLP10l_sliceB2__F_mouse 3_SBC_20Xtil..._F_mouse 3_SBC_20Xtile_350-Hoechst_488-BODIPY_647-D54D2.czi #1 - C=0,11085,0.240,986.496,146.969,14.500,0.000,0.000
11086,2024-11-12_ICinject241010_rLP10l_sliceB2__F_mouse 3_SBC_20Xtil..._F_mouse 3_SBC_20Xtile_350-Hoechst_488-BODIPY_647-D54D2.czi #1 - C=0,11086,1.922,294.198,407.805,11.562,0.534,0.028
11087,2024-11-12_ICinject241010_rLP10l_sliceB2__F_mouse 3_SBC_20Xtil..._F_mouse 3_SBC_20Xtile_350-Hoechst_488-BODIPY_647-D54D2.czi #1 - C=0,11087,0.240,87.350,707.809,17.000,0.000,0.000
11088,2024-11-12_ICinject241010_rLP10l_sliceB2__F_mouse 3_SBC_20Xtil..._F_mouse 3_SBC_20Xtile_350-Hoechst_488-BODIPY_647-D54D2.czi #1 - C=0,11088,0.721,24.957,770.895,19.000,0.000,0.000
11089,2024-11-12_ICinject241010_rLP10l_sliceB2__F_mouse 3_SBC_20Xtil..._F_mouse 3_SBC_20Xtile_350-Hoechst_488-BODIPY_647-D54D2.czi #1 - C=0,11089,0.240,54.074,730.686,17.000,0.000,0.000
11090,2024-11-12_ICinject241010_rLP10l_sliceB2__F_mouse 3_SBC_20Xtil..._F_mouse 3_SBC_20Xtile_350-Hoechst_488-BODIPY_647-D54D2.czi #1 - C=0,11090,2.163,1213.420,349.013,30.222,0.933,0.054
